"displayname","registryname","displayversion","installdate","installedfor","installlocation","publisher","uninstallstring","modifypath","comments","urlinfoabout","urlupdateinfo","helplink","installsource","releasetype","displayicon","estimatedsize","registrytime","installfoldercreatedtime","installfoldermodifiedtime"
﻿"Microsoft SQL Server 2012 Transact-SQL Compiler Service ","{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}","MsiExec.exe /I{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}"," "," "," "," ","C:\ProgramData\Package Cache\{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}v11.0.2100.60\packages\Sqlls_amd64\"," "," ","89504","1688627178","NULL","NULL"
﻿"VS JIT Debugger","{C7E8A4F2-EF09-42A8-B892-69D5ED99D965}","16.0.102.0","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{C7E8A4F2-EF09-42A8-B892-69D5ED99D965}","MsiExec.exe /I{C7E8A4F2-EF09-42A8-B892-69D5ED99D965}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Debugger.JustInTime.Msi,version=16.10.31205.180,chip=x64\"," "," ","2163","1688629232","NULL","NULL"
﻿"Universal CRT Tools x64","{CD06199B-41C1-AE6D-7567-984CC68792C3}","10.1.19041.685","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{CD06199B-41C1-AE6D-7567-984CC68792C3}","MsiExec.exe /I{CD06199B-41C1-AE6D-7567-984CC68792C3}"," "," "," "," ","C:\ProgramData\Package Cache\{CD06199B-41C1-AE6D-7567-984CC68792C3}v10.1.19041.685\Installers\"," "," ","1804","1688629424","NULL","NULL"
﻿"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}","11.0.61030","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}","MsiExec.exe /X{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}","Caution. Removing this product might prevent some applications from running."," "," "," ","C:\ProgramData\Package Cache\{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}v11.0.61030\packages\vcRuntimeMinimum_amd64\"," "," ","2000","1688626744","NULL","NULL"
﻿"Windows App Certification Kit Native Components","{D2886D0B-F38D-EB07-2108-B6218761F8F9}","10.1.19041.685","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{D2886D0B-F38D-EB07-2108-B6218761F8F9}","MsiExec.exe /I{D2886D0B-F38D-EB07-2108-B6218761F8F9}"," "," "," "," ","C:\ProgramData\Package Cache\{D2886D0B-F38D-EB07-2108-B6218761F8F9}v10.1.19041.685\Installers\"," "," ","8020","1688629353","NULL","NULL"
﻿"Python 3.11.4 pip Bootstrap (64-bit)","{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}","MsiExec.exe /I{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}v3.11.4150.0\"," "," ","268","1688106554","NULL","NULL"
﻿"Microsoft Visual C++ 2012  x64 Designtime - 11.0.50727","{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}","MsiExec.exe /X{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}"," "," "," "," ","C:\ProgramData\Package Cache\{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}v11.0.50727\packages\VCDesigntime\x64\"," "," ","152","1688627455","NULL","NULL"
﻿"Python 3.11.4 Executables (64-bit)","{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}","MsiExec.exe /I{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}v3.11.4150.0\"," "," ","2080","1688106528","NULL","NULL"
﻿"Microsoft Web Platform Installer 4.0","{E2B8249D-895C-4685-8C83-00F3B1A13028}","4.0.1622","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{E2B8249D-895C-4685-8C83-00F3B1A13028}","MsiExec.exe /X{E2B8249D-895C-4685-8C83-00F3B1A13028}"," "," "," "," ","C:\ProgramData\Package Cache\{E2B8249D-895C-4685-8C83-00F3B1A13028}v4.0.1622\packages\WebPlatformInstaller\"," "," ","4232","1688627396","NULL","NULL"
﻿"Windows SDK DirectX x64 Remote","{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}","10.1.19041.685","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}","MsiExec.exe /I{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}"," "," "," "," ","C:\ProgramData\Package Cache\{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}v10.1.19041.685\Installers\"," "," ","488","1688629446","NULL","NULL"
﻿"Microsoft System CLR Types for SQL Server 2012 (x64)","{F1949145-EB64-4DE7-9D81-E6D27937146C}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{F1949145-EB64-4DE7-9D81-E6D27937146C}","MsiExec.exe /I{F1949145-EB64-4DE7-9D81-E6D27937146C}"," "," "," "," ","C:\ProgramData\Package Cache\{F1949145-EB64-4DE7-9D81-E6D27937146C}v11.0.2100.60\packages\SQLSysClrTypes_amd64\"," "," ","2828","1688627509","NULL","NULL"
﻿"Microsoft SQL Server 2012 Management Objects  (x64)","{FA0A244E-F3C2-4589-B42A-3D522DE79A42}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{FA0A244E-F3C2-4589-B42A-3D522DE79A42}","MsiExec.exe /I{FA0A244E-F3C2-4589-B42A-3D522DE79A42}"," "," "," "," ","C:\ProgramData\Package Cache\{FA0A244E-F3C2-4589-B42A-3D522DE79A42}v11.0.2100.60\packages\SharedManagementObjects_amd64\"," "," ","18652","1688627519","NULL","NULL"
﻿"Python 3.11.4 Documentation (64-bit)","{FABA3DAC-829C-4C83-BC27-F3AFFD27B465}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{FABA3DAC-829C-4C83-BC27-F3AFFD27B465}","MsiExec.exe /I{FABA3DAC-829C-4C83-BC27-F3AFFD27B465}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{FABA3DAC-829C-4C83-BC27-F3AFFD27B465}v3.11.4150.0\"," "," ","49840","1688106543","NULL","NULL"
﻿"IIS Express Application Compatibility Database for x86","{fdfba1f3-74ae-4255-9c10-a0f552b4610f}.sdb"," "," ","All User 64-bit"," "," ","%windir%\system32\sdbinst.exe -u "C:\Windows\AppPatch\CustomSDB\{fdfba1f3-74ae-4255-9c10-a0f552b4610f}.sdb""," "," "," "," "," "," "," "," ","0","1688627390","NULL","NULL"
﻿"Microsoft Visual Studio 2012 Performance Collection Tools - ENU","{FE74AC04-F248-4641-B3A9-89C6AA4339CD}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{FE74AC04-F248-4641-B3A9-89C6AA4339CD}","MsiExec.exe /I{FE74AC04-F248-4641-B3A9-89C6AA4339CD}"," "," "," "," ","C:\ProgramData\Package Cache\{FE74AC04-F248-4641-B3A9-89C6AA4339CD}v11.0.50727\packages\PerformanceCollectionTools\"," "," ","684","1688627346","NULL","NULL"
﻿"Python 3.11.4 Core Interpreter (64-bit)","{FEF98C01-0C8A-4A0F-88AE-F164A787286C}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{FEF98C01-0C8A-4A0F-88AE-F164A787286C}","MsiExec.exe /I{FEF98C01-0C8A-4A0F-88AE-F164A787286C}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{FEF98C01-0C8A-4A0F-88AE-F164A787286C}v3.11.4150.0\"," "," ","5680","1688106527","NULL","NULL"
﻿"Visual Studio Community 2019","efb93ab7","16.11.27","20230706","All User 32-bit","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community","Microsoft Corporation"," "," "," "," "," "," "," "," ","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe","0","1688626269","1688626269","1688629259"
﻿"Microsoft Edge","Microsoft Edge","115.0.1901.200","20230809","All User 32-bit","C:\Program Files (x86)\Microsoft\Edge\Application","Microsoft Corporation"," "," "," "," "," "," "," "," ","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,0","0","1691584527","1628203306","1691646408"
﻿"Microsoft Edge Update","Microsoft Edge Update","1.3.177.11"," ","All User 32-bit"," "," "," "," "," "," "," "," "," "," "," ","0","1688686121","NULL","NULL"
﻿"Microsoft Edge WebView2 涥q","Microsoft EdgeWebView","115.0.1901.200","20230809","All User 32-bit","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","Microsoft Corporation"," "," "," "," "," "," "," "," ","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\115.0.1901.200\msedgewebview2.exe,0","0","1691584533","1688106692","1691584533"
﻿"Microsoft Help Viewer 2.0","Microsoft Help Viewer 2.0","2.0.50727"," ","All User 32-bit","C:\Program Files (x86)\Microsoft Help Viewer\v2.0\","Microsoft Corporation"," "," "," "," ","http://go.microsoft.com/fwlink/?LinkId=133408","http://go.microsoft.com/fwlink/?LinkId=133405"," "," ","C:\Windows\SysWOW64\msiexec.exe","12438","1688627524","1688627201","1688627524"
﻿"Microsoft NuGet - Visual Studio 2012","{00EC8ABC-3C5A-40F8-A8CB-E7DCD5ABFA05}","2.0.30625.9003","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{00EC8ABC-3C5A-40F8-A8CB-E7DCD5ABFA05}","MsiExec.exe /I{00EC8ABC-3C5A-40F8-A8CB-E7DCD5ABFA05}"," "," "," "," ","C:\ProgramData\Package Cache\{00EC8ABC-3C5A-40F8-A8CB-E7DCD5ABFA05}v2.0.30625.9003\packages\WPT\"," "," ","2564","1688627382","NULL","NULL"
﻿"vs_FileTracker_Singleton","{05CA3463-0B45-425D-9AF2-E1964AB85CBB}","16.10.31303","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{05CA3463-0B45-425D-9AF2-E1964AB85CBB}","MsiExec.exe /I{05CA3463-0B45-425D-9AF2-E1964AB85CBB}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.Build.FileTracker.Msi,version=16.10.31303.231\"," "," ","808","1688626297","NULL","NULL"
﻿"Windows SDK Desktop Tools arm64","{06E580FA-F3B2-08E9-4DC0-0AB55D985CBB}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{06E580FA-F3B2-08E9-4DC0-0AB55D985CBB}","MsiExec.exe /I{06E580FA-F3B2-08E9-4DC0-0AB55D985CBB}"," "," "," "," ","C:\ProgramData\Package Cache\{06E580FA-F3B2-08E9-4DC0-0AB55D985CBB}v10.1.19041.685\Installers\"," "," ","11836","1688629471","NULL","NULL"
﻿"Windows IoT Extension SDK","{084094EF-6AC9-480A-7CC1-04199047BBDD}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{084094EF-6AC9-480A-7CC1-04199047BBDD}","MsiExec.exe /I{084094EF-6AC9-480A-7CC1-04199047BBDD}"," "," "," "," ","C:\ProgramData\Package Cache\{084094EF-6AC9-480A-7CC1-04199047BBDD}v10.1.19041.685\Installers\"," "," ","372","1688629427","NULL","NULL"
﻿"Entity Framework Designer for Visual Studio 2012 - enu","{0A1A1D48-DB23-443A-BC7B-49255D138020}","11.1.20702.00","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{0A1A1D48-DB23-443A-BC7B-49255D138020}","MsiExec.exe /X{0A1A1D48-DB23-443A-BC7B-49255D138020}"," "," "," "," ","C:\ProgramData\Package Cache\{0A1A1D48-DB23-443A-BC7B-49255D138020}v11.1.20702.00\packages\EFTools\"," "," ","30400","1688627357","NULL","NULL"
﻿"WinRT Intellisense UAP - en-us","{0AF3B821-474B-1885-473A-6E3FB4F1CF71}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{0AF3B821-474B-1885-473A-6E3FB4F1CF71}","MsiExec.exe /I{0AF3B821-474B-1885-473A-6E3FB4F1CF71}"," "," "," "," ","C:\ProgramData\Package Cache\{0AF3B821-474B-1885-473A-6E3FB4F1CF71}v10.1.19041.685\Installers\"," "," ","12848","1688629424","NULL","NULL"
﻿"WCF Data Services 5.0 (for OData v3) Primary Components","{0BCC836F-0B28-4090-B58A-64883BAA3B2F}","5.0.50628.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{0BCC836F-0B28-4090-B58A-64883BAA3B2F}","MsiExec.exe /I{0BCC836F-0B28-4090-B58A-64883BAA3B2F}"," "," "," "," ","C:\ProgramData\Package Cache\{0BCC836F-0B28-4090-B58A-64883BAA3B2F}v5.0.50628.0\packages\WcfDataServices\"," "," ","10196","1688627369","NULL","NULL"
﻿"Windows SDK for Windows Store Apps DirectX x86 Remote","{0E2FEA3B-C853-DE2A-8A04-BB7D5BF010E0}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{0E2FEA3B-C853-DE2A-8A04-BB7D5BF010E0}","MsiExec.exe /I{0E2FEA3B-C853-DE2A-8A04-BB7D5BF010E0}"," "," "," "," ","C:\ProgramData\Package Cache\{0E2FEA3B-C853-DE2A-8A04-BB7D5BF010E0}v10.1.19041.685\Installers\"," "," ","4152","1688629446","NULL","NULL"
﻿"vs_filehandler_amd64","{102E83BD-B6A0-4C74-AD22-7D594A3435D3}","16.11.31503","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{102E83BD-B6A0-4C74-AD22-7D594A3435D3}","MsiExec.exe /I{102E83BD-B6A0-4C74-AD22-7D594A3435D3}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.FileHandler.Msi,version=16.11.31503.54,chip=x64\"," "," ","2132","1688626284","NULL","NULL"
﻿"icecap_collection_neutral","{1036893D-9917-4E70-B96C-8D72A2B224BC}","16.10.31306","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{1036893D-9917-4E70-B96C-8D72A2B224BC}","MsiExec.exe /I{1036893D-9917-4E70-B96C-8D72A2B224BC}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.Icecap.Collection.Msi,version=16.10.31306.167\"," "," ","4097","1688629220","NULL","NULL"
﻿"WCF Data Services Tools for Microsoft Visual Studio 2012","{148878BD-A2A5-4CF1-A103-2BA632F41953}","5.0.50710.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{148878BD-A2A5-4CF1-A103-2BA632F41953}","MsiExec.exe /I{148878BD-A2A5-4CF1-A103-2BA632F41953}"," "," "," "," ","C:\ProgramData\Package Cache\{148878BD-A2A5-4CF1-A103-2BA632F41953}v5.0.50710.0\packages\WcfDataServices\"," "," ","21556","1688627372","NULL","NULL"
﻿"WinRT Intellisense PPI - en-us","{15E29AFF-CB19-A20B-9A81-B0765A63115F}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{15E29AFF-CB19-A20B-9A81-B0765A63115F}","MsiExec.exe /I{15E29AFF-CB19-A20B-9A81-B0765A63115F}"," "," "," "," ","C:\ProgramData\Package Cache\{15E29AFF-CB19-A20B-9A81-B0765A63115F}v10.1.19041.685\Installers\"," "," ","372","1688629426","NULL","NULL"
﻿"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30139","{1679EF65-55F3-4248-B91E-6B3BE1A69CDF}","14.29.30139","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{1679EF65-55F3-4248-B91E-6B3BE1A69CDF}","MsiExec.exe /I{1679EF65-55F3-4248-B91E-6B3BE1A69CDF}"," "," "," "," ","C:\ProgramData\Package Cache\{1679EF65-55F3-4248-B91E-6B3BE1A69CDF}v14.29.30139\packages\vcRuntimeMinimum_x86\"," "," ","1736","1688629174","NULL","NULL"
﻿" Tools for .Net 3.5","{1690CE56-2231-4E59-9006-A0876D949EA8}","3.11.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{1690CE56-2231-4E59-9006-A0876D949EA8}","MsiExec.exe /X{1690CE56-2231-4E59-9006-A0876D949EA8}"," "," "," "," ","C:\ProgramData\Package Cache\{1690CE56-2231-4E59-9006-A0876D949EA8}v3.11.50727\packages\sdk_tools35\"," "," ","15208","1688627493","NULL","NULL"
﻿"vs_minshellmsires","{16AF7214-E702-4042-BB08-6D9A3C790514}","16.10.31303","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{16AF7214-E702-4042-BB08-6D9A3C790514}","MsiExec.exe /I{16AF7214-E702-4042-BB08-6D9A3C790514}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.MinShell.Msi.Resources,version=16.10.31306.167,language=zh-TW\"," "," ","144","1688626272","NULL","NULL"
﻿"Microsoft Visual Studio 2012 Preparation","{16DD6E8B-E10B-4B6D-BC2D-B2BF631094F2}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{16DD6E8B-E10B-4B6D-BC2D-B2BF631094F2}","MsiExec.exe /I{16DD6E8B-E10B-4B6D-BC2D-B2BF631094F2}"," "," "," "," ","C:\ProgramData\Package Cache\{16DD6E8B-E10B-4B6D-BC2D-B2BF631094F2}v11.0.50727\packages\"," "," ","160","1688627686","NULL","NULL"
﻿"Windows SDK Desktop Libs x64","{170B023D-7C1B-2EF4-D3E9-B974A26752AC}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{170B023D-7C1B-2EF4-D3E9-B974A26752AC}","MsiExec.exe /I{170B023D-7C1B-2EF4-D3E9-B974A26752AC}"," "," "," "," ","C:\ProgramData\Package Cache\{170B023D-7C1B-2EF4-D3E9-B974A26752AC}v10.1.19041.685\Installers\"," "," ","76492","1688629466","NULL","NULL"
﻿"Microsoft Silverlight 4 SDK","{189AEA94-DAFB-487A-8CEE-F9D3DDE0A748}","4.0.60310.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{189AEA94-DAFB-487A-8CEE-F9D3DDE0A748}","MsiExec.exe /X{189AEA94-DAFB-487A-8CEE-F9D3DDE0A748}"," "," "," "," ","C:\ProgramData\Package Cache\{189AEA94-DAFB-487A-8CEE-F9D3DDE0A748}v4.0.60310.0\packages\Silverlight\4.0_SDK\"," "," ","52928","1688627527","NULL","NULL"
﻿"Microsoft .NET Framework 4.5 SDK","{1948E039-EC79-4591-951D-9867A8C14C90}","4.5.50709","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{1948E039-EC79-4591-951D-9867A8C14C90}","MsiExec.exe /X{1948E039-EC79-4591-951D-9867A8C14C90}"," "," "," "," ","C:\ProgramData\Package Cache\{1948E039-EC79-4591-951D-9867A8C14C90}v4.5.50709\packages\sdk_tools4\"," "," ","18960","1688627490","NULL","NULL"
﻿"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30139","{1AEA8854-7597-4CD3-948F-8DE364D94E07}","14.29.30139","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{1AEA8854-7597-4CD3-948F-8DE364D94E07}","MsiExec.exe /I{1AEA8854-7597-4CD3-948F-8DE364D94E07}"," "," "," "," ","C:\ProgramData\Package Cache\{1AEA8854-7597-4CD3-948F-8DE364D94E07}v14.29.30139\packages\vcRuntimeAdditional_x86\"," "," ","10420","1688629175","NULL","NULL"
﻿"Microsoft Visual Studio Team Foundation Server 2012 Team Explorer Language Pack - ENU","{1B9BBB23-65CB-3AEE-BFC6-633E7CA299FD}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{1B9BBB23-65CB-3AEE-BFC6-633E7CA299FD}","MsiExec.exe /I{1B9BBB23-65CB-3AEE-BFC6-633E7CA299FD}"," "," "," "," ","C:\ProgramData\Package Cache\{1B9BBB23-65CB-3AEE-BFC6-633E7CA299FD}v11.0.50727\packages\TeamExplorerLP\"," "," ","3048","1688627353","NULL","NULL"
﻿"Microsoft Visual C++ 2012 x86 Debug Runtime - 11.0.50727","{1C163D33-33B3-33EB-A617-0D4D852BE8E1}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{1C163D33-33B3-33EB-A617-0D4D852BE8E1}","MsiExec.exe /X{1C163D33-33B3-33EB-A617-0D4D852BE8E1}","Caution. Removing this product might prevent some applications from running."," "," "," ","C:\ProgramData\Package Cache\{1C163D33-33B3-33EB-A617-0D4D852BE8E1}v11.0.50727\packages\vcRuntimeDebug_x86\"," "," ","20336","1688627058","NULL","NULL"
﻿"Windows SDK Desktop Tools x86","{1C966E96-8553-EF1E-A06F-A8174B3CAA60}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{1C966E96-8553-EF1E-A06F-A8174B3CAA60}","MsiExec.exe /I{1C966E96-8553-EF1E-A06F-A8174B3CAA60}"," "," "," "," ","C:\ProgramData\Package Cache\{1C966E96-8553-EF1E-A06F-A8174B3CAA60}v10.1.19041.685\Installers\"," "," ","19240","1688629463","NULL","NULL"
﻿"Microsoft Report Viewer Add-On for Visual Studio 2012","{1DB43E5A-2F24-4F51-92B0-A2C0EBF5C742}","11.1.2802.16","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{1DB43E5A-2F24-4F51-92B0-A2C0EBF5C742}","MsiExec.exe /I{1DB43E5A-2F24-4F51-92B0-A2C0EBF5C742}"," "," "," "," ","C:\ProgramData\Package Cache\{1DB43E5A-2F24-4F51-92B0-A2C0EBF5C742}v11.1.2802.16\packages\Reporting Services\"," "," ","76296","1688627593","NULL","NULL"
﻿"Microsoft Visual C++ 2012 Compilers","{1F8E06E2-BA93-40DC-B183-E024CBD853A8}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{1F8E06E2-BA93-40DC-B183-E024CBD853A8}","MsiExec.exe /X{1F8E06E2-BA93-40DC-B183-E024CBD853A8}"," "," "," "," ","C:\ProgramData\Package Cache\{1F8E06E2-BA93-40DC-B183-E024CBD853A8}v11.0.50727\packages\vc_compilercore\"," "," ","57756","1688627068","NULL","NULL"
﻿"Windows SDK for Windows Store Apps Libs","{1FBBD022-F751-FE7B-54DF-9FED23892B2F}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{1FBBD022-F751-FE7B-54DF-9FED23892B2F}","MsiExec.exe /I{1FBBD022-F751-FE7B-54DF-9FED23892B2F}"," "," "," "," ","C:\ProgramData\Package Cache\{1FBBD022-F751-FE7B-54DF-9FED23892B2F}v10.1.19041.685\Installers\"," "," ","176056","1688629444","NULL","NULL"
